Alger County,, Glauconite, Pyrite, Quartz,Thomsonite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manistee County,, Anhydrite, Gold, Halite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquette County cioie eiiagt, Actinolite, Aegirinaugite,Aegirine, Albite, Allanite, Almite,Anatase,alusite, Anglesite, Anhydrite, Ankerite,Anthophyllite, Antigorite, Apatite,Aphrosiderite,Aragonite, Arsenopyrite, Augite, Awarurite, Axinite,Azurite, Barite, Beryl,Biotite, Bismuthinite,Blomstrine, Bornite, Brannerite, Brucite,Brunsvigite, Calcite, Celestite,Chalcocite,Chalcopyrite, Chamosite, Chlorite, Chloritoid,Chromite, Chromium Silicates,Chrysotile,Clinochlore, Clino-Chrysotile, Clinozoisite,Columbite, Copper, Cordierite,Corundum, Covellite,Cubanite, Cummingtonitep, Diabantite, Dickite,Diopside, Dolomite,Enstatite, Epidote, Euclase,Euxenite, Faujasite, Fluorite, Galena, Galena,Gibbsite, Goethite,Gold, Graphite, Greenalite,Grunerite, Gypsum, Halloysite, Hausmannite,Hematite,Hornblende, Hypersthene, Illite, Jacobsite,Kaolinite, Kutnahorite, Kyanite,Labradorite,Lizardite, Mackinawite, Magnetite, Malachite,Manganite, Manganocalcite,Marcasite, Margarite,Microcline, Millerite, Minnesotaite, Molybdenite,Monazite,Montmorillonite, Muscovite, Nacrite,Nontronite, Oligoclase, Olivine,Orthoclase,Paragonite, Pargasite, Pentlite, Phlogopite,Pigeonite, Powellite, Prochlorite,Pseudomalachite,Psilomelane, Pyrite, Pyrolusite, Pyrophyllite,Pyrostilpnite, Pyrrhotite,Quartz, Rhodochrosite,Rhodonite, Riebeckite, Rutile, Scheelite, Schefferite,Siderite,Sillimanite, Silver, Spessartite, Sphalerite,Sphene, Spinel, Spodumene, Staurolite,Stilpnomelane, Talc, Tellurium, Tetrahedrite,Tourmaline, Tremolite, Vermiculite, Violarite,Zircon
Mason County,, Anhydrite, Halite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mecosta County,, Anhydrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menominee County,, Arsenopyrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midland County,, Anhydrite, Halite, Sylvite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monroe County,, Anhydrite, Apatite, Aragonite,Barite, Calcite, Celestite, Dolomite,Fluorite,Goethite, Gypsum, Marcasite, Pyrite, Quartz,Strontianite, Sulfur, Tourmaline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montcalm County,, Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muskegon County,, Anhydrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newaygo County,, Anhydrite, Celestite, Dolomite,Gold, Gypsum, Halite, Polyhalite,Pyrite, Sylvite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakland County,, Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceana County,, Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ogemaw County,, Anhydrite, Gypsum, Pyrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ontonagon County,, Algodonite, Analcite,Anatase, Anhydrite, Atacamite, Augite,Azurite,Barite, Bastnaesite, Bornite, Calcite, Chalcocite,Chalcopyrite, Chlorite, Chromite,Chrysocolla,Copper, Covellite, Cuprite, Datolite, Delessite,Digenite, Dioptase, Djurleite,Dolomite, Domeykite,Epidote, Fluorite, Galena, Gold, Greenockite,Gypsum, Hydrocarbon,Illite, Magnetite, Malachite,Marcasite, Microcline, Molybdenite, Montmorillonite,Nantokite, Paramelaconite, Paratacamite, Pigeonite,Plancheite, Prehnite, Pyrite,Quartz, Sanidine,Saponite, Silver, Sphalerite, Sphene, Synchisite,Tenorite, Tridymite, Wurtzite,Zircon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osceola County,, Anhydrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ottawa County,, Calcite, Dolomite, Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presque Isle County,, Calcite, Halite, Pyrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saginaw County,, Halite, Pyrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schoolcraft County,, Goethite, Quartz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiawassee County,, Calcite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair County,, Anhydrite, Calcite, Halite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Joseph County,, Calcite, Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuscola County,, Copper, Sphalerite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
