Chromite,https://en.wikipedia.org/wiki/Chromite,Dickinson,Marquette,Ontonagon,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ChromiumSilicates,https://en.wikipedia.org/wiki/Chromium_Silicates,Gogebic,Marquette,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrysocolla,https://en.wikipedia.org/wiki/Chrysocolla,Houghton,Keweenaw,Ontonagon,,,,,,,,,,,,,,,,,,,,,,
Chrysotile,https://en.wikipedia.org/wiki/Chrysotile,Dickinson,Marquette,,,,,,,,,,,,,,,,,,,,,,,
Cinnabar,https://en.wikipedia.org/wiki/Cinnabar,Baraga,,,,,,,,,,,,,,,,,,,,,,,,
Clinochlore,https://en.wikipedia.org/wiki/Clinochlore,Baraga,Marquette,,,,,,,,,,,,,,,,,,,,,,,
Clino-Chrysotile,https://en.wikipedia.org/wiki/Clino-Chrysotile,Marquette,,,,,,,,,,,,,,,,,,,,,,,,
Clinozoisite,https://en.wikipedia.org/wiki/Clinozoisite,Dickinson,Houghton,Iron,Keweenaw,Marquette,,,,,,,,,,,,,,,,,,,,
Columbite,https://en.wikipedia.org/wiki/Columbite,Dickinson,Marquette,,,,,,,,,,,,,,,,,,,,,,,
Copper,https://en.wikipedia.org/wiki/Copper,Alpena,Baraga,Dickinson,Gogebic,Gratiot,Houghton,Iron,Kent,Keweenaw,Marquette,Ontonagon,Tuscola,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordierite,https://en.wikipedia.org/wiki/Cordierite,Marquette,,,,,,,,,,,,,,,,,,,,,,,,
Corundum,https://en.wikipedia.org/wiki/Corundum,Iron,Marquette,Wayne,,,,,,,,,,,,,,,,,,,,,,
Covellite,https://en.wikipedia.org/wiki/Covellite,Keweenaw,Marquette,Ontonagon,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Cubanite,https://en.wikipedia.org/wiki/Cubanite,Marquette,,,,,,,,,,,,,,,,,,,,,,,,
Cummingtonitep,https://en.wikipedia.org/wiki/Cummingtonitep,Dickinson,Marquette,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuprite,https://en.wikipedia.org/wiki/Cuprite,Houghton,Keweenaw,Ontonagon,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Datolite,https://en.wikipedia.org/wiki/Datolite,Houghton,Keweenaw,Ontonagon,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Delessite,https://en.wikipedia.org/wiki/Delessite,Houghton,Keweenaw,Ontonagon,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabantite,https://en.wikipedia.org/wiki/Diabantite,Houghton,Keweenaw,Marquette,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
